Date,Open,High,Low,Close,Volume,Adj Close
2002-05-20,24.38,24.72,23.76,24.29,4845800,10.44
2002-05-13,23.38,24.66,23.20,24.38,5982300,10.48
2002-05-06,23.00,23.65,22.24,23.38,4447400,10.05
2002-04-29,22.62,23.80,22.28,23.08,5825200,9.92
2002-04-22,23.90,24.11,22.26,22.52,5426600,9.68
2002-04-15,23.42,23.94,23.30,23.89,3611800,10.27
2002-04-08,23.43,23.77,23.00,23.52,4224400,10.11
2002-04-01,23.25,24.21,23.02,23.52,4622600,10.11
2002-03-25,23.62,23.88,22.81,23.25,3330500,10.00
2002-03-18,23.50,23.69,23.11,23.67,4323600,10.18
2002-03-11,23.65,23.74,22.78,23.41,7482600,10.07
2002-03-04,22.70,23.80,22.50,23.52,5967400,10.11
2002-02-25,21.35,22.50,20.92,22.36,5076900,9.61
2002-02-18,20.55,21.40,19.95,21.24,4160400,9.13
2002-02-11,21.50,22.06,20.52,20.52,5762900,8.82
2002-02-04,22.48,23.00,21.17,21.42,6124700,9.21
2002-01-28,22.61,22.71,21.90,22.48,4997400,9.66
2002-01-21,21.65,22.77,21.36,22.65,4887100,9.74
2002-01-14,21.33,21.74,20.81,21.70,3984200,9.33
2002-01-07,21.74,22.05,21.13,21.50,5267400,9.24
2001-12-31,20.88,21.84,20.50,21.40,3090500,9.20
2001-12-24,20.30,21.24,20.27,20.88,690500,8.98
2001-12-17,20.35,20.99,20.08,20.30,5087300,8.73
2001-12-10,21.64,21.67,20.33,20.42,4326300,8.78
2001-12-03,21.51,22.49,20.77,21.50,5541200,9.24
2001-11-26,21.45,21.92,21.01,21.28,4607800,9.15
2001-11-19,21.03,21.95,20.93,21.60,4392300,9.29
2001-11-12,20.55,21.15,19.35,20.93,6113300,9.00
2001-11-05,19.05,21.06,18.85,20.40,5416200,8.77
2001-10-29,19.47,19.67,18.31,18.85,3558800,8.11
2001-10-22,19.00,20.02,17.90,19.59,6427500,8.42
2001-10-15,20.40,20.45,18.66,19.25,3637000,8.28
2001-10-08,18.83,20.57,18.68,21.49,5183000,9.24
2001-10-01,19.12,19.27,18.18,19.58,5057600,8.42
2001-09-24,15.44,19.48,15.44,19.52,5630300,8.39
2001-09-17,18.52,19.30,14.18,15.44,10256900,6.64
2001-09-10,22.20,22.42,18.66,18.83,8425400,8.09
2001-09-03,22.73,23.62,22.15,22.46,5691500,9.66
2001-08-27,23.23,23.50,22.24,22.45,3989000,9.65
2001-08-20,22.09,23.20,22.02,23.02,4020600,9.90
2001-08-13,22.67,22.67,21.90,22.00,3916500,9.46
2001-08-06,22.75,23.19,21.49,22.44,7580600,9.65
2001-07-30,22.75,23.41,22.58,22.59,2645500,9.72
2001-07-23,23.65,23.81,22.25,22.67,4325300,9.75
2001-07-16,23.90,23.95,23.11,23.60,3608900,10.15
2001-07-09,23.10,23.65,22.75,23.65,3131700,10.17
2001-07-02,23.30,23.72,22.92,23.40,4865900,10.06
